local,visita,goles_local,goles_visita,torneo_id,temporada,importancia,fecha,elo_local,elo_visita
Thailand,Cambodia,3,1,1,2023,1,,1250.8,922.32
Philippines,Indonesia,1,2,1,2023,1,,1100.95,1157.14
Vietnam,Myanmar,3,0,1,2023,1,,1225.68,1010.91
Malaysia,Singapore,4,1,1,2023,1,,1086.22,1057.95
Iraq,Oman,0,0,1,2023,1,,1426.53,1100.0
Yemen,Saudi Arabia,0,2,1,2023,1,,1065.24,1435.0
Indonesia,Vietnam,0,0,1,2023,1,,1161.3383381329961,1227.9307797719923
Bahrain,United Arab Emirates,2,1,1,2023,1,,1254.41,1100.0
Kuwait,Qatar,0,2,1,2023,1,,1100.0,1438.82
Malaysia,Thailand,1,0,1,2023,1,,1090.8140574739382,1252.1114383698243
Iceland,Estonia,1,1,0,2023,0,,1342.77,1130.64
Sweden,Finland,2,0,0,2023,0,,1517.99,1341.92
Oman,Yemen,3,2,1,2023,1,,1103.6757181296337,1064.176434422717
Iraq,Saudi Arabia,2,0,1,2023,1,,1422.8542818703663,1436.063565577283
Vietnam,Indonesia,2,0,1,2023,1,,1226.9840030526996,1162.2851148522889
United Arab Emirates,Kuwait,0,1,1,2023,1,,1097.0865391301563,1098.7549076385205
Qatar,Bahrain,1,2,1,2023,1,,1440.0650923614794,1257.3234608698438
Thailand,Malaysia,3,0,1,2023,1,,1244.9437248852985,1097.981770958464
Finland,Estonia,0,1,0,2023,0,,1339.2571243805996,1133.362603141003
Sweden,Iceland,2,1,0,2023,0,,1520.6528756194004,1340.047396858997
Iraq,Yemen,5,0,1,2023,1,,1428.044287203458,1059.7424383781456
Saudi Arabia,Oman,1,2,1,2023,1,,1430.8735602441914,1108.109714174205
Bahrain,Kuwait,1,1,1,2023,1,,1264.7349437968785,1103.7308980702076
Qatar,United Arab Emirates,1,1,1,2023,1,,1432.6536094344447,1092.1105486984693
Vietnam,Thailand,2,2,1,2023,1,,1231.0635265632852,1247.9464909973892
Iraq,Qatar,2,1,1,2023,1,,1429.1158570481953,1428.8879299186972
Bahrain,Oman,0,1,1,2023,1,,1262.5706595418205,1116.7603251676856
Thailand,Vietnam,1,0,1,2023,1,,1247.7037166650102,1231.3063008956642
Iraq,Oman,3,2,1,2023,1,,1434.1125769135992,1123.743611874954
United States,Serbia,1,2,0,2023,0,,1100.0,1502.13
United States,Colombia,0,0,0,2023,0,,1099.100991668037,1712.6
Grenada,Barbados,1,1,0,2023,0,,981.82,909.89
Grenada,Barbados,2,2,0,2023,0,,980.7993844357335,910.9106155642665
Grenada,Saint Lucia,1,2,0,2023,0,,979.806954051406,1100.0
Saint Barthélemy,Sint Maarten,5,1,0,2023,0,,1100.0,1100.0
Grenada,Saint Lucia,2,0,0,2023,0,,976.470819261393,1103.3361347900131
Saint Martin,Saint Barthélemy,3,2,0,2023,0,,1100.0,1105.0
Jamaica,Trinidad and Tobago,0,1,0,2023,0,,1357.84,1219.59
Guatemala,Panama,1,1,0,2023,0,,1100.0,1505.33
Jamaica,Trinidad and Tobago,0,0,0,2023,0,,1350.9491801979866,1226.4808198020132
Bangladesh,Malawi,1,1,0,2023,0,,902.93,1122.05
Ethiopia,Rwanda,1,0,0,2023,0,,1077.52,1126.62
Fiji,Vanuatu,1,2,0,2023,0,,1024.17,1100.0
Maldives,Pakistan,1,0,0,2023,0,,943.92,840.28
Tahiti,New Caledonia,0,2,0,2023,0,,1019.04,1100.0
Honduras,El Salvador,1,0,0,2023,0,,1378.97,1225.34
India,Myanmar,1,0,1,2023,1,,1084.93,1008.6592202280076
Nepal,Laos,2,0,1,2023,1,,914.54,885.03
Republic of Ireland,Latvia,3,2,0,2023,0,,1441.1,1085.66
Sierra Leone,São Tomé and Príncipe,2,2,1,2023,1,,1147.56,1100.0
Benin,Rwanda,1,1,1,2023,1,,1252.17,1120.918060954662
Argentina,Panama,2,0,0,2023,0,,1889.06,1501.2140501966437
Hong Kong,Singapore,1,1,0,2023,0,,1024.16,1053.3559425260619
Hungary,Estonia,1,0,0,2023,0,,1506.39,1141.0214613137994
Iran,Russia,1,1,0,2023,0,,1605.12,1100.0
Malaysia,Turkmenistan,1,0,0,2023,0,,1094.9790048463733,1078.65
New Zealand,China,0,0,0,2023,0,,1290.04,1100.0
Solomon Islands,Vanuatu,2,0,0,2023,0,,1031.89,1103.9257226725988
Madagascar,Central African Republic,0,3,1,2023,1,,1202.69,1080.82
Ghana,Angola,1,0,1,2023,1,,1380.71,1100.0
Algeria,Niger,2,1,1,2023,1,,1559.24,1175.33
Congo,South Sudan,1,2,1,2023,1,,1105.96,1100.0
Zambia,Lesotho,3,1,1,2023,1,,1255.82,1064.29
Gabon,Sudan,1,0,1,2023,1,,1272.51,1157.22
Italy,England,1,2,1,2023,1,,1704.73,1847.68
North Macedonia,Malta,2,1,1,2023,1,,1100.0,992.79
